FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-454a,4737,3,3300704,CABO FRIO,096,1953,Colégio Municipal Rui Barbosa,COLÉGIO MUNICIPAL RUI BARBOSA,CENTRO,RUA RUI BARBOSA 814,7,2622,-42.01946,-22.88165,POINT (-42.01946000000002 -22.88165000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4549,4738,3,3300704,CABO FRIO,096,1961,Escola Municipal João Rocha,ESCOLA MUNICIPAL JOÃO ROCHA,VILA NOVA,RUA FRANCISCO PARANHOS 701,7,2783,-42.02518,-22.88707,POINT (-42.02518 -22.88707000000002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4548,4739,3,3300704,CABO FRIO,096,2003,Escola Municipal Arlete Rosa Castanho,ESCOLA MUNICIPAL ARLETE ROSA CASTANHO,VILA NOVA,RUA CORONEL MÁRIO QUINTANILHA N 299,4,1457,-42.02362,-22.88415,POINT (-42.023619999999994 -22.88415)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4547,4740,3,3300704,CABO FRIO,096,2097,Secretaria de Administração Municipal,SECRETARIA DE ADMINISTRACAO MUNICIPAL,BRAGA,RUA FLORISBELA ROSA DA PENHA QUADRA 33,7,2701,-42.03046,-22.89318,POINT (-42.03045999999999 -22.893180000000005)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4546,4741,3,3300704,CABO FRIO,096,2100,Colégio Estadual Professor Renato Azevedo,COLÉGIO ESTADUAL PROFESSOR RENATO AZEVEDO,SÃO CRISTÓVÃO,AV. AMERICA CENTRAL S/N,13,4733,-42.04559,-22.89301,POINT (-42.04559 -22.893009999999993)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4545,4742,3,3300704,CABO FRIO,096,2119,São Cristóvão Futebol Clube,SAO CRISTOVAO FUTEBOL CLUBE,SÃO CRISTÓVÃO,AV. LECI GOMES DA COSTA 234,9,3272,-42.04257,-22.89214,POINT (-42.04256999999999 -22.89214)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4544,4743,3,3300704,CABO FRIO,096,2127,Escola Municipal Luiz Lindemberg,ESCOLA MUNICIPAL PROFESSORA MÁRCIA FRANCESCONI PEREIRA,SÃO CRISTÓVÃO,RUA EXPEDICIONÁRIO DA PÁTRIA 410,8,2913,-42.04949,-22.89103,POINT (-42.04949 -22.891030000000015)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4543,4744,3,3300704,CABO FRIO,096,2135,Escola Municipal Professor Edilson Duarte,ESCOLA MUNICIPAL PROFESSOR EDILSON DUARTE,JARDIM CAIÇARA,RUA PROFESSORA AMELIA FERREIRA S/N,15,5450,-42.03417,-22.88548,POINT (-42.03417 -22.88548)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4542,4745,3,3300704,CABO FRIO,096,2143,CIEP - Manoel Corrêa,CIEP MANOEL CORREA,CÉLULA MÁTER,RUA LUIS DE CAMÕES S/N,12,4137,-42.04125,-22.90064,POINT (-42.041249999999984 -22.900640000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4541,4746,3,3300704,CABO FRIO,096,2151,Escola Municipal Zélio Jotha,ESCOLA MUNICIPAL ZELIO JOTHA,SÃO CRISTÓVÃO,AV. JOAQUIM NOGUEIRA 812,9,3168,-42.0425,-22.88993,POINT (-42.04249999999999 -22.889930000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-4540,4747,3,3300704,CABO FRIO,096,2178,LBV - Legião da Boa Vontade,LBV - LEGIAO DA BOA VONTADE,SÃO CRISTÓVÃO,AV. JOAQUIM NOGUEIRA 772,6,1946,-42.04219,-22.88998,POINT (-42.04218999999999 -22.889979999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-453f,4748,3,3300704,CABO FRIO,096,2160,Escola Municipal Alfredo Castro,ESCOLA MUNICIPAL ALFREDO CASTRO,JARDIM CAIÇARA,RUA INGLATERRA 121,7,2605,-42.03984,-22.88598,POINT (-42.039840000000005 -22.885979999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-453e,4749,3,3300704,CABO FRIO,096,2194,Escola Municipal Deodoro Azevedo,ESCOLA MUNICIPAL DEODORO AZEVEDO,GUARANI,RUA GOVERNADOR VALADARES 1096,7,2411,-42.04561,-22.89847,POINT (-42.04561 -22.89847000000002)
